STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,PERCENT_FINER_02,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
41,2002,1,G,2,1989-11-12,1.416,1.237,ACATB,,,,,,,,,,,,3.8,6.0,52.7,1989,,,412002,45,11.4,701.4,1971-06-01,OR
41,2002,1,G,2,1989-11-12,1.419,1.208,ACATB,,,,,,,,,,,,3.8,6.0,52.7,1989,,,412002,45,11.4,701.4,1971-06-01,OR
41,2002,1,G,2,1989-11-12,1.257,1.24,ACATB,,,,,,,,,,,,3.8,6.0,52.7,1989,,,412002,45,11.4,701.4,1971-06-01,OR
41,2002,1,G,2,1989-11-12,1.376,1.234,ACATB,,,,,,,,,,,,3.8,6.0,52.7,1989,,,412002,45,11.4,701.4,1971-06-01,OR
41,2002,1,G,2,1989-11-12,1.349,1.251,ACATB,,,,,,,,,,,,3.8,6.0,52.7,1989,,,412002,45,11.4,701.4,1971-06-01,OR
41,2002,1,G,2,1991-01-28,1.385,1.231,ACATB,,,,,,,,,11,11,8,3.8,6.0,52.7,1991,,,412002,4,11.8,877.3,1971-06-01,OR
41,2002,1,G,2,1991-01-28,1.419,1.229,ACATB,,,,,,,,,11,11,8,3.8,6.0,52.7,1991,,,412002,4,11.8,877.3,1971-06-01,OR
41,2002,1,G,2,1991-01-28,1.38,1.229,ACATB,,,,,,,,,11,11,8,3.8,6.0,52.7,1991,,,412002,4,11.8,877.3,1971-06-01,OR
41,2002,1,G,2,1991-01-28,1.421,1.265,ACATB,,,,,,,,,11,11,8,3.8,6.0,52.7,1991,,,412002,4,11.8,877.3,1971-06-01,OR
41,2002,1,G,2,1991-01-28,1.41,1.223,ACATB,,,,,,,,,11,11,8,3.8,6.0,52.7,1991,,,412002,4,11.8,877.3,1971-06-01,OR
41,2002,1,G,2,1992-04-27,1.456,1.39,ACATB,,,,,,,,,11,11,8,3.8,6.0,52.7,1992,,241.0,412002,1,13.1,829.9,1971-06-01,OR
41,2002,1,G,2,1992-04-27,1.385,1.308,ACATB,,,,,,,,,11,11,8,3.8,6.0,52.7,1992,,241.0,412002,1,13.1,829.9,1971-06-01,OR
41,2002,1,G,2,1992-04-27,1.372,1.358,ACATB,,,,,,,,,11,11,8,3.8,6.0,52.7,1992,,241.0,412002,1,13.1,829.9,1971-06-01,OR
41,2002,1,G,2,1992-04-27,1.307,1.365,ACATB,,,,,,,,,11,11,8,3.8,6.0,52.7,1992,,241.0,412002,1,13.1,829.9,1971-06-01,OR
41,2002,1,G,2,1992-04-27,1.301,1.315,ACATB,,,,,,,,,11,11,8,3.8,6.0,52.7,1992,,241.0,412002,1,13.1,829.9,1971-06-01,OR
41,2002,1,G,2,1993-03-30,1.718,1.331,ACATB,1.0,0.0,2879.0,0.0,0.0,0.4,228.8,0.0,11,11,8,3.8,6.0,52.7,1993,,197.0,412002,33,11.3,864.0,1971-06-01,OR
41,2002,1,G,2,1993-03-30,1.595,1.514,ACATB,1.0,0.0,2879.0,0.0,0.0,0.4,228.8,0.0,11,11,8,3.8,6.0,52.7,1993,,197.0,412002,33,11.3,864.0,1971-06-01,OR
41,2002,1,G,2,1993-03-30,1.462,1.539,ACATB,1.0,0.0,2879.0,0.0,0.0,0.4,228.8,0.0,11,11,8,3.8,6.0,52.7,1993,,197.0,412002,33,11.3,864.0,1971-06-01,OR
41,2002,1,G,2,1993-03-30,1.666,1.349,ACATB,1.0,0.0,2879.0,0.0,0.0,0.4,228.8,0.0,11,11,8,3.8,6.0,52.7,1993,,197.0,412002,33,11.3,864.0,1971-06-01,OR
41,2002,1,G,2,1993-03-30,1.517,1.494,ACATB,1.0,0.0,2879.0,0.0,0.0,0.4,228.8,0.0,11,11,8,3.8,6.0,52.7,1993,,197.0,412002,33,11.3,864.0,1971-06-01,OR
