STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
22,4001,1,G,4,1998-09-24,2.16,2.6,JRCP,78,,0.0,0.0,16,0.0,9.8,,1998,,,224001,0,20.6,1531.3,1970-06-01,LA
22,4001,1,G,4,1993-12-17,1.703,2.243,JRCP,78,,,0.0,8,0.0,9.8,,1993,,,224001,0,19.0,1700.1,1970-06-01,LA
22,4001,1,G,4,1995-06-02,1.857,2.559,JRCP,78,,,0.0,8,0.0,9.8,,1995,,,224001,0,19.7,1861.6,1970-06-01,LA
22,4001,1,G,4,1995-06-02,1.891,2.55,JRCP,78,,,0.0,8,0.0,9.8,,1995,,,224001,0,19.7,1861.6,1970-06-01,LA
22,4001,1,G,4,1995-06-02,1.919,2.539,JRCP,78,,,0.0,8,0.0,9.8,,1995,,,224001,0,19.7,1861.6,1970-06-01,LA
22,4001,1,G,4,1995-06-02,1.836,2.569,JRCP,78,,,0.0,8,0.0,9.8,,1995,,,224001,0,19.7,1861.6,1970-06-01,LA
22,4001,1,G,4,1998-09-24,2.069,2.669,JRCP,78,,0.0,0.0,16,0.0,9.8,,1998,,,224001,0,20.6,1531.3,1970-06-01,LA
22,4001,1,G,4,1993-12-17,1.812,2.214,JRCP,78,,,0.0,8,0.0,9.8,,1993,,,224001,0,19.0,1700.1,1970-06-01,LA
22,4001,1,G,4,1998-09-24,2.096,2.644,JRCP,78,,0.0,0.0,16,0.0,9.8,,1998,,,224001,0,20.6,1531.3,1970-06-01,LA
22,4001,1,G,4,1998-09-24,2.164,2.67,JRCP,78,,0.0,0.0,16,0.0,9.8,,1998,,,224001,0,20.6,1531.3,1970-06-01,LA
22,4001,1,G,4,1998-09-24,2.064,2.644,JRCP,78,,0.0,0.0,16,0.0,9.8,,1998,,,224001,0,20.6,1531.3,1970-06-01,LA
22,4001,1,G,4,1995-06-02,1.858,2.578,JRCP,78,,,0.0,8,0.0,9.8,,1995,,,224001,0,19.7,1861.6,1970-06-01,LA
22,4001,1,G,4,1990-06-01,1.56,1.92,JRCP,,,,,,,9.8,,1990,,,224001,0,20.3,1559.3,1970-06-01,LA
22,4001,1,G,4,1990-06-01,1.532,1.932,JRCP,,,,,,,9.8,,1990,,,224001,0,20.3,1559.3,1970-06-01,LA
22,4001,1,G,4,1993-12-17,1.701,2.237,JRCP,78,,,0.0,8,0.0,9.8,,1993,,,224001,0,19.0,1700.1,1970-06-01,LA
22,4001,1,G,4,1990-06-01,1.582,1.938,JRCP,,,,,,,9.8,,1990,,,224001,0,20.3,1559.3,1970-06-01,LA
22,4001,1,G,4,1993-12-17,1.742,2.191,JRCP,78,,,0.0,8,0.0,9.8,,1993,,,224001,0,19.0,1700.1,1970-06-01,LA
22,4001,1,G,4,1990-06-01,1.565,1.944,JRCP,,,,,,,9.8,,1990,,,224001,0,20.3,1559.3,1970-06-01,LA
22,4001,1,G,4,1991-12-12,1.762,2.103,JRCP,67,,,0.2,7,0.0,9.8,,1991,,596.0,224001,0,19.9,1854.6,1970-06-01,LA
22,4001,1,G,4,1991-12-12,1.773,2.116,JRCP,67,,,0.2,7,0.0,9.8,,1991,,596.0,224001,0,19.9,1854.6,1970-06-01,LA
22,4001,1,G,4,1991-12-12,1.739,2.106,JRCP,67,,,0.2,7,0.0,9.8,,1991,,596.0,224001,0,19.9,1854.6,1970-06-01,LA
22,4001,1,G,4,1991-12-12,1.736,2.119,JRCP,67,,,0.2,7,0.0,9.8,,1991,,596.0,224001,0,19.9,1854.6,1970-06-01,LA
22,4001,1,G,4,1991-12-12,1.749,2.109,JRCP,67,,,0.2,7,0.0,9.8,,1991,,596.0,224001,0,19.9,1854.6,1970-06-01,LA
22,4001,1,G,4,1993-12-17,1.763,2.208,JRCP,78,,,0.0,8,0.0,9.8,,1993,,,224001,0,19.0,1700.1,1970-06-01,LA
22,4001,1,G,4,1990-06-01,1.572,1.926,JRCP,,,,,,,9.8,,1990,,,224001,0,20.3,1559.3,1970-06-01,LA
22,4001,2,G,4,2000-07-18,2.182,2.72,JRCP,78,,-0.3,0.0,12,0.0,9.8,,2000,,,224001,1,19.8,1079.0,,LA
22,4001,2,G,4,2000-07-18,2.156,2.701,JRCP,78,,-0.3,0.0,12,0.0,9.8,,2000,,,224001,1,19.8,1079.0,,LA
22,4001,2,G,4,2000-07-18,2.124,2.718,JRCP,78,,-0.3,0.0,12,0.0,9.8,,2000,,,224001,1,19.8,1079.0,,LA
22,4001,2,G,4,2000-07-18,2.156,2.712,JRCP,78,,-0.3,0.0,12,0.0,9.8,,2000,,,224001,1,19.8,1079.0,,LA
22,4001,2,G,4,2000-07-18,2.159,2.711,JRCP,78,,-0.3,0.0,12,0.0,9.8,,2000,,,224001,1,19.8,1079.0,,LA
